Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Multiple_Observers,Multiple_FirstY
38,45.407852,-93.200974,281,MN,99,Betula,papyrifera,paper birch,Plantae,5108,483,Leaves,2010,4,30,120,2455317,11,2010,8,18,230,2455427,7,16,111,0,0
637,44.34095,-72.46122,518,VT,62,Alnus,incana,gray alder,Plantae,2007,180,>=75% of full leaf size (deciduous),2010,5,16,136,2455333,8,2010,5,30,150,2455347,-9999,3,15,0,0
637,44.34095,-72.46122,518,VT,62,Alnus,incana,gray alder,Plantae,2008,180,>=75% of full leaf size (deciduous),2010,5,23,143,2455340,7,2010,5,30,150,2455347,-9999,2,8,0,0
637,44.34095,-72.46122,518,VT,62,Alnus,incana,gray alder,Plantae,2007,371,Breaking leaf buds,2010,4,16,106,2455303,2,2010,5,16,136,2455333,7,6,31,0,0
637,44.34095,-72.46122,518,VT,62,Alnus,incana,gray alder,Plantae,2008,371,Breaking leaf buds,2010,4,24,114,2455311,6,2010,5,16,136,2455333,7,4,23,0,0
637,44.34095,-72.46122,518,VT,62,Alnus,incana,gray alder,Plantae,2007,483,Leaves,2010,5,2,122,2455319,8,2010,5,30,150,2455347,-9999,5,29,0,0
637,44.34095,-72.46122,518,VT,62,Alnus,incana,gray alder,Plantae,2008,483,Leaves,2010,5,8,128,2455325,6,2010,5,30,150,2455347,-9999,4,23,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,1922,180,>=75% of full leaf size (deciduous),2010,5,16,136,2455333,8,2010,5,30,150,2455347,-9999,3,15,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,2004,180,>=75% of full leaf size (deciduous),2010,5,23,143,2455340,7,2010,5,30,150,2455347,-9999,2,8,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,1922,183,>=50% of leaves fallen (deciduous),2010,3,21,80,2455277,-9999,2010,3,21,80,2455277,-9999,1,1,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,2004,183,>=50% of leaves fallen (deciduous),2010,3,21,80,2455277,-9999,2010,3,21,80,2455277,-9999,1,1,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,1922,184,All leaves fallen (deciduous),2010,4,24,114,2455311,6,2010,4,24,114,2455311,-9999,1,1,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,2004,184,All leaves fallen (deciduous),2010,4,14,104,2455301,3,2010,4,14,104,2455301,-9999,1,1,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,1922,371,Breaking leaf buds,2010,5,8,128,2455325,6,2010,5,8,128,2455325,8,1,1,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,2004,371,Breaking leaf buds,2010,5,8,128,2455325,6,2010,5,16,136,2455333,7,2,9,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,1922,483,Leaves,2010,5,8,128,2455325,6,2010,5,30,150,2455347,-9999,4,23,0,0
637,44.34095,-72.46122,518,VT,79,Fagus,grandifolia,American beech,Plantae,2004,483,Leaves,2010,5,8,128,2455325,6,2010,5,30,150,2455347,-9999,4,23,0,0
637,44.34095,-72.46122,518,VT,99,Betula,papyrifera,paper birch,Plantae,1991,180,>=75% of full leaf size (deciduous),2010,5,23,143,2455340,7,2010,5,30,150,2455347,-9999,2,8,0,0
637,44.34095,-72.46122,518,VT,99,Betula,papyrifera,paper birch,Plantae,2018,180,>=75% of full leaf size (deciduous),2010,5,23,143,2455340,7,2010,5,30,150,2455347,-9999,2,8,0,0
637,44.34095,-72.46122,518,VT,99,Betula,papyrifera,paper birch,Plantae,1991,371,Breaking leaf buds,2010,5,2,122,2455319,8,2010,5,16,136,2455333,7,3,15,0,0
637,44.34095,-72.46122,518,VT,99,Betula,papyrifera,paper birch,Plantae,2018,371,Breaking leaf buds,2010,5,2,122,2455319,8,2010,5,30,150,2455347,-9999,5,29,0,0
637,44.34095,-72.46122,518,VT,99,Betula,papyrifera,paper birch,Plantae,1991,483,Leaves,2010,5,8,128,2455325,6,2010,5,30,150,2455347,-9999,4,23,0,0
637,44.34095,-72.46122,518,VT,99,Betula,papyrifera,paper birch,Plantae,2018,483,Leaves,2010,5,2,122,2455319,8,2010,5,30,150,2455347,-9999,5,29,0,0
678,45.177551,-89.848251,432,WI,99,Betula,papyrifera,paper birch,Plantae,3979,180,>=75% of full leaf size (deciduous),2010,5,29,149,2455346,21,2010,5,29,149,2455346,27,1,1,0,0
678,45.177551,-89.848251,432,WI,99,Betula,papyrifera,paper birch,Plantae,3979,371,Breaking leaf buds,2010,4,29,119,2455316,-9999,2010,4,29,119,2455316,9,1,1,0,0
678,45.177551,-89.848251,432,WI,99,Betula,papyrifera,paper birch,Plantae,3979,483,Leaves,2010,4,29,119,2455316,-9999,2010,5,8,128,2455325,21,2,10,0,0
777,39.719887,-104.917572,1645,CO,99,Betula,papyrifera,paper birch,Plantae,641,180,>=75% of full leaf size (deciduous),2010,5,24,144,2455341,15,2010,7,9,190,2455387,-9999,2,47,0,0
777,39.719887,-104.917572,1645,CO,99,Betula,papyrifera,paper birch,Plantae,641,371,Breaking leaf buds,2010,4,10,100,2455297,-9999,2010,7,9,190,2455387,-9999,5,91,0,0
777,39.719887,-104.917572,1645,CO,99,Betula,papyrifera,paper birch,Plantae,641,483,Leaves,2010,4,21,111,2455308,11,2010,7,9,190,2455387,-9999,4,80,0,0
1218,47.676506,-122.360168,67,WA,99,Betula,papyrifera,paper birch,Plantae,5099,180,>=75% of full leaf size (deciduous),2010,4,14,104,2455301,-9999,2010,4,14,104,2455301,185,1,1,0,0
1218,47.676506,-122.360168,67,WA,99,Betula,papyrifera,paper birch,Plantae,5099,182,All leaves colored (deciduous),2010,10,16,289,2455486,-9999,2010,10,16,289,2455486,-9999,1,1,0,0
1218,47.676506,-122.360168,67,WA,99,Betula,papyrifera,paper birch,Plantae,5099,371,Breaking leaf buds,2010,3,1,60,2455257,-9999,2010,3,20,79,2455276,25,2,20,0,0
1218,47.676506,-122.360168,67,WA,99,Betula,papyrifera,paper birch,Plantae,5099,483,Leaves,2010,4,14,104,2455301,25,2010,4,14,104,2455301,185,1,1,0,0
1239,42.579735,-70.930641,12,MA,99,Betula,papyrifera,paper birch,Plantae,1754,184,All leaves fallen (deciduous),2010,3,27,86,2455283,-9999,2010,3,27,86,2455283,-9999,1,1,0,0
1476,34.750793,-82.344971,252,SC,79,Fagus,grandifolia,American beech,Plantae,2521,180,>=75% of full leaf size (deciduous),2010,1,3,3,2455200,-9999,2010,4,7,97,2455294,2,4,95,0,0
1476,34.750793,-82.344971,252,SC,79,Fagus,grandifolia,American beech,Plantae,2521,181,>=50% of leaves colored (deciduous),2010,1,3,3,2455200,-9999,2010,4,7,97,2455294,2,4,95,0,0
1476,34.750793,-82.344971,252,SC,79,Fagus,grandifolia,American beech,Plantae,2521,182,All leaves colored (deciduous),2010,1,3,3,2455200,-9999,2010,4,7,97,2455294,2,4,95,0,0
1476,34.750793,-82.344971,252,SC,79,Fagus,grandifolia,American beech,Plantae,2521,183,>=50% of leaves fallen (deciduous),2010,4,7,97,2455294,18,2010,4,9,99,2455296,-9999,2,3,0,0
1476,34.750793,-82.344971,252,SC,79,Fagus,grandifolia,American beech,Plantae,2521,184,All leaves fallen (deciduous),2010,4,9,99,2455296,2,2010,4,9,99,2455296,-9999,1,1,0,0
1476,34.750793,-82.344971,252,SC,79,Fagus,grandifolia,American beech,Plantae,2521,483,Leaves,2010,1,3,3,2455200,-9999,2010,1,3,3,2455200,69,1,1,0,0
1550,44.341782,-72.461853,457,VT,62,Alnus,incana,gray alder,Plantae,2766,371,Breaking leaf buds,2010,4,25,115,2455312,7,2010,5,9,129,2455326,-9999,2,15,0,0
1550,44.341782,-72.461853,457,VT,62,Alnus,incana,gray alder,Plantae,2767,371,Breaking leaf buds,2010,4,25,115,2455312,7,2010,5,9,129,2455326,-9999,2,15,0,0
1550,44.341782,-72.461853,457,VT,62,Alnus,incana,gray alder,Plantae,2766,483,Leaves,2010,5,9,129,2455326,14,2010,5,9,129,2455326,-9999,1,1,0,0
1550,44.341782,-72.461853,457,VT,62,Alnus,incana,gray alder,Plantae,2767,483,Leaves,2010,5,9,129,2455326,14,2010,5,9,129,2455326,-9999,1,1,0,0
1550,44.341782,-72.461853,457,VT,79,Fagus,grandifolia,American beech,Plantae,2756,184,All leaves fallen (deciduous),2010,4,16,106,2455303,2,2010,4,18,108,2455305,7,2,3,0,0
1550,44.341782,-72.461853,457,VT,79,Fagus,grandifolia,American beech,Plantae,2756,371,Breaking leaf buds,2010,5,9,129,2455326,14,2010,5,9,129,2455326,-9999,1,1,0,0
1550,44.341782,-72.461853,457,VT,79,Fagus,grandifolia,American beech,Plantae,2756,483,Leaves,2010,5,9,129,2455326,14,2010,5,9,129,2455326,-9999,1,1,0,0
1581,42.088829,-70.936188,24,MA,79,Fagus,grandifolia,American beech,Plantae,5035,483,Leaves,2010,5,1,121,2455318,-9999,2010,5,1,121,2455318,5,1,1,0,0
1597,48.054951,-92.765915,412,MN,99,Betula,papyrifera,paper birch,Plantae,2980,180,>=75% of full leaf size (deciduous),2010,5,25,145,2455342,5,2010,9,28,271,2455468,2,10,127,0,0
1597,48.054951,-92.765915,412,MN,99,Betula,papyrifera,paper birch,Plantae,2980,181,>=50% of leaves colored (deciduous),2010,9,22,265,2455462,13,2010,9,22,265,2455462,6,1,1,0,0
1597,48.054951,-92.765915,412,MN,99,Betula,papyrifera,paper birch,Plantae,2980,182,All leaves colored (deciduous),2010,9,28,271,2455468,6,2010,9,28,271,2455468,2,1,1,0,0
1597,48.054951,-92.765915,412,MN,99,Betula,papyrifera,paper birch,Plantae,2980,183,>=50% of leaves fallen (deciduous),2010,9,30,273,2455470,2,2010,9,30,273,2455470,-9999,1,1,0,0
1597,48.054951,-92.765915,412,MN,99,Betula,papyrifera,paper birch,Plantae,2980,371,Breaking leaf buds,2010,4,25,115,2455312,10,2010,5,10,130,2455327,7,4,16,0,0
1597,48.054951,-92.765915,412,MN,99,Betula,papyrifera,paper birch,Plantae,2980,483,Leaves,2010,5,17,137,2455334,7,2010,5,20,140,2455337,5,2,4,0,0
1598,48.051636,-92.766304,395,MN,99,Betula,papyrifera,paper birch,Plantae,3013,180,>=75% of full leaf size (deciduous),2010,5,25,145,2455342,5,2010,7,12,193,2455390,28,7,49,0,1
1598,48.051636,-92.766304,395,MN,99,Betula,papyrifera,paper birch,Plantae,3013,180,>=75% of full leaf size (deciduous),2010,9,4,247,2455444,26,2010,9,28,271,2455468,9,3,25,0,1
1598,48.051636,-92.766304,395,MN,99,Betula,papyrifera,paper birch,Plantae,3013,182,All leaves colored (deciduous),2010,9,28,271,2455468,19,2010,9,28,271,2455468,9,1,1,0,0
1598,48.051636,-92.766304,395,MN,99,Betula,papyrifera,paper birch,Plantae,3013,184,All leaves fallen (deciduous),2010,10,7,280,2455477,9,2010,10,7,280,2455477,-9999,1,1,0,0
1598,48.051636,-92.766304,395,MN,99,Betula,papyrifera,paper birch,Plantae,3013,371,Breaking leaf buds,2010,4,24,114,2455311,9,2010,5,10,130,2455327,7,4,17,0,0
1598,48.051636,-92.766304,395,MN,99,Betula,papyrifera,paper birch,Plantae,3013,483,Leaves,2010,5,17,137,2455334,7,2010,5,20,140,2455337,5,2,4,0,1
1598,48.051636,-92.766304,395,MN,99,Betula,papyrifera,paper birch,Plantae,3013,483,Leaves,2010,8,9,221,2455418,28,2010,8,9,221,2455418,26,1,1,0,1
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3218,180,>=75% of full leaf size (deciduous),2010,4,24,114,2455311,2,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3230,180,>=75% of full leaf size (deciduous),2010,4,24,114,2455311,2,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3231,180,>=75% of full leaf size (deciduous),2010,4,24,114,2455311,2,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4265,180,>=75% of full leaf size (deciduous),2010,4,24,114,2455311,2,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4271,180,>=75% of full leaf size (deciduous),2010,4,22,112,2455309,7,2010,4,22,112,2455309,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3218,181,>=50% of leaves colored (deciduous),2010,10,17,290,2455487,3,2010,10,17,290,2455487,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3230,181,>=50% of leaves colored (deciduous),2010,10,23,296,2455493,6,2010,10,23,296,2455493,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3231,181,>=50% of leaves colored (deciduous),2010,10,17,290,2455487,3,2010,10,17,290,2455487,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4271,181,>=50% of leaves colored (deciduous),2010,10,17,290,2455487,3,2010,10,17,290,2455487,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3218,182,All leaves colored (deciduous),2010,10,23,296,2455493,6,2010,10,23,296,2455493,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3231,182,All leaves colored (deciduous),2010,10,23,296,2455493,6,2010,10,23,296,2455493,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4265,182,All leaves colored (deciduous),2010,10,23,296,2455493,6,2010,10,23,296,2455493,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4271,182,All leaves colored (deciduous),2010,10,23,296,2455493,6,2010,10,23,296,2455493,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3230,183,>=50% of leaves fallen (deciduous),2010,10,23,296,2455493,6,2010,10,23,296,2455493,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4271,183,>=50% of leaves fallen (deciduous),2010,10,23,296,2455493,6,2010,10,23,296,2455493,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3218,184,All leaves fallen (deciduous),2010,11,6,310,2455507,14,2010,11,6,310,2455507,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3230,184,All leaves fallen (deciduous),2010,11,6,310,2455507,14,2010,11,6,310,2455507,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3231,184,All leaves fallen (deciduous),2010,11,6,310,2455507,14,2010,11,6,310,2455507,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4265,184,All leaves fallen (deciduous),2010,11,6,310,2455507,14,2010,11,6,310,2455507,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4271,184,All leaves fallen (deciduous),2010,11,6,310,2455507,14,2010,11,6,310,2455507,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3218,371,Breaking leaf buds,2010,4,3,93,2455290,2,2010,4,3,93,2455290,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3230,371,Breaking leaf buds,2010,4,9,99,2455296,1,2010,4,9,99,2455296,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3231,371,Breaking leaf buds,2010,4,8,98,2455295,5,2010,4,8,98,2455295,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4265,371,Breaking leaf buds,2010,4,3,93,2455290,2,2010,4,3,93,2455290,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4271,371,Breaking leaf buds,2010,4,1,91,2455288,4,2010,4,1,91,2455288,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3218,483,Leaves,2010,4,9,99,2455296,1,2010,4,9,99,2455296,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3230,483,Leaves,2010,4,24,114,2455311,2,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3231,483,Leaves,2010,4,24,114,2455311,2,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4265,483,Leaves,2010,4,15,105,2455302,5,2010,4,15,105,2455302,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4271,483,Leaves,2010,4,8,98,2455295,5,2010,4,8,98,2455295,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,180,>=75% of full leaf size (deciduous),2010,4,15,105,2455302,5,2010,4,15,105,2455302,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3232,180,>=75% of full leaf size (deciduous),2010,5,5,125,2455322,-9999,2010,5,5,125,2455322,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3233,180,>=75% of full leaf size (deciduous),2010,5,22,142,2455339,-9999,2010,5,22,142,2455339,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4267,180,>=75% of full leaf size (deciduous),2010,4,24,114,2455311,2,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,180,>=75% of full leaf size (deciduous),2010,4,24,114,2455311,7,2010,4,24,114,2455311,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,181,>=50% of leaves colored (deciduous),2010,11,6,310,2455507,7,2010,11,6,310,2455507,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,181,>=50% of leaves colored (deciduous),2010,11,12,316,2455513,6,2010,11,12,316,2455513,50,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,182,All leaves colored (deciduous),2010,11,12,316,2455513,6,2010,11,12,316,2455513,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4267,182,All leaves colored (deciduous),2010,11,6,310,2455507,14,2010,11,6,310,2455507,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,182,All leaves colored (deciduous),2010,10,30,303,2455500,31,2010,10,30,303,2455500,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,183,>=50% of leaves fallen (deciduous),2010,11,28,332,2455529,7,2010,11,28,332,2455529,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,184,All leaves fallen (deciduous),2010,11,20,324,2455521,2,2010,11,20,324,2455521,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4267,184,All leaves fallen (deciduous),2010,11,18,322,2455519,6,2010,11,18,322,2455519,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,371,Breaking leaf buds,2010,4,1,91,2455288,4,2010,4,1,91,2455288,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3232,371,Breaking leaf buds,2010,4,22,112,2455309,6,2010,4,22,112,2455309,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4267,371,Breaking leaf buds,2010,4,8,98,2455295,5,2010,4,8,98,2455295,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,371,Breaking leaf buds,2010,4,17,107,2455304,7,2010,4,17,107,2455304,259,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,483,Leaves,2010,4,8,98,2455295,5,2010,4,8,98,2455295,-9999,1,1,0,0
1668,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3232,483,Leaves,2010,4,29,119,2455316,-9999,2010,4,29,119,2455316,-9999,1,1,0,0
